City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
70,Harper,US,2019-11-30 02:00:29,30.3,-99.24,71.6,83,90,17.22
71,Saskylakh,RU,2019-11-30 02:00:29,71.97,114.09,-30.86,95,96,9.04
72,Magomeni,TZ,2019-11-30 02:00:30,-6.8,39.25,79.29,81,100,6.15
73,Hambantota,LK,2019-11-30 02:00:30,6.12,81.12,75.2,100,40,1.12
74,Rockport,US,2019-11-30 02:00:30,28.02,-97.05,75.99,100,1,13.87
75,Padang,ID,2019-11-30 02:00:30,-0.92,100.36,81.01,68,13,2.44
76,Tiznit,MA,2019-11-30 02:00:31,29.7,-9.73,60.17,33,100,1.66
77,Yanam,IN,2019-11-30 02:00:31,16.73,82.22,77.0,78,20,6.93
78,Warmbad,DE,2019-11-30 02:00:31,50.67,13.08,34.0,80,62,5.82
79,Longyearbyen,NO,2019-11-30 02:00:31,78.22,15.63,17.6,92,90,46.08
80,Nanortalik,GL,2019-11-30 02:00:31,60.14,-45.24,37.47,72,100,4.83
81,Ponta Do Sol,BR,2019-11-30 02:00:32,-20.63,-46.0,67.26,94,100,3.76
82,Husavik,CA,2019-11-30 02:00:32,50.56,-96.99,28.99,91,100,3.0
83,Port Alfred,ZA,2019-11-30 02:00:32,-33.59,26.89,64.99,91,83,1.99
84,Cidreira,BR,2019-11-30 02:00:33,-30.17,-50.22,70.92,83,0,18.45
85,Owando,CG,2019-11-30 02:00:33,-0.49,15.91,73.58,89,100,1.23
86,Neyshabur,IR,2019-11-30 02:00:33,36.21,58.79,37.35,74,0,0.51
87,Ostrovnoy,RU,2019-11-30 02:00:33,68.05,39.51,34.66,96,100,18.7
88,Cabo San Lucas,MX,2019-11-30 01:56:17,22.89,-109.91,75.0,83,75,6.78
89,Port Lincoln,AU,2019-11-30 02:00:34,-34.72,135.86,61.79,51,100,14.92
90,Okhotsk,RU,2019-11-30 02:00:34,59.36,143.24,-9.85,65,0,22.48
91,Matara,BI,2019-11-30 02:00:34,-3.48,29.48,58.96,92,100,1.59
92,Puerto Ayacucho,CO,2019-11-30 02:00:34,5.66,-67.63,82.4,74,40,1.21
93,Ongandjera,NA,2019-11-30 02:00:35,-17.88,15.07,76.6,32,98,5.93
94,Dawlatabad,AF,2019-11-30 02:00:35,36.41,64.91,44.62,46,96,0.92
95,Pocatello,US,2019-11-30 02:00:35,42.87,-112.44,28.4,86,90,19.46
96,Eyl,SO,2019-11-30 02:00:35,7.98,49.82,78.19,67,100,21.32
97,Dikson,RU,2019-11-30 02:00:36,73.51,80.55,-7.49,99,99,7.09
98,Faanui,PF,2019-11-30 02:00:36,-16.48,-151.75,82.42,73,89,7.81
99,Atuona,PF,2019-11-30 02:00:36,-9.8,-139.03,79.48,71,0,17.52
100,Half Moon Bay,US,2019-11-30 02:00:36,37.46,-122.43,48.2,93,75,3.36
101,Port Elizabeth,US,2019-11-30 02:00:37,39.31,-74.98,39.99,51,20,9.17
102,Meulaboh,ID,2019-11-30 02:00:37,4.14,96.13,80.8,82,79,5.21
103,Belen,US,2019-11-30 01:57:53,34.66,-106.78,39.0,74,1,12.75
104,Lavrentiya,RU,2019-11-30 02:00:37,65.58,-170.99,23.65,78,100,25.37
105,Wattegama,LK,2019-11-30 02:00:37,7.35,80.68,74.53,92,97,1.66
106,Radhanpur,IN,2019-11-30 02:00:38,23.83,71.61,67.57,49,33,12.95
107,Caravelas,BR,2019-11-30 02:00:38,-17.73,-39.27,74.61,96,100,8.03
108,Kapaa,US,2019-11-30 02:00:38,22.08,-159.32,84.2,69,20,18.34
109,Roma,IT,2019-11-30 01:59:17,41.89,12.48,54.0,93,0,2.24
110,Lebu,ET,2019-11-30 02:00:39,8.96,38.73,51.82,91,100,1.12
111,Parkes,AU,2019-11-30 02:00:39,-33.14,148.18,87.12,20,85,15.19
112,Matay,EG,2019-11-30 02:00:39,28.42,30.79,55.17,81,0,8.57
113,Victoria,BN,2019-11-30 02:00:39,5.28,115.24,84.2,74,75,4.7
114,Collie,AU,2019-11-30 02:00:39,-33.36,116.15,73.0,23,0,9.37
115,Mount Gambier,AU,2019-11-30 02:00:40,-37.83,140.78,59.0,62,75,11.41
116,Thompson,CA,2019-11-30 01:58:52,55.74,-97.86,-4.0,83,40,2.24
117,Kshenskiy,RU,2019-11-30 02:00:40,51.85,37.72,42.85,94,100,14.18
118,Sitka,US,2019-11-30 02:00:40,37.17,-99.65,47.08,95,91,12.64
119,Ribeira Grande,PT,2019-11-30 02:00:40,38.52,-28.7,61.79,81,100,10.13
120,Chokurdakh,RU,2019-11-30 02:00:41,70.62,147.9,-16.78,95,94,9.86
121,Tuatapere,NZ,2019-11-30 02:00:41,-46.13,167.69,70.65,22,100,4.74
