City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Rain,Snow
Bredasdorp,ZA,11/30/2019 17:06,-34.53,20.04,71.6,46,32,17.22,0,0
Hermanus,ZA,11/30/2019 17:00,-34.42,19.24,66.99,73,8,5.99,0,0
Kruisfontein,ZA,11/30/2019 17:06,-34,24.73,59.58,80,70,10.87,0,0
Cape Town,ZA,11/30/2019 17:00,-33.93,18.42,69.8,49,33,12.75,0,0
